,income,recency,mnt_gold_prods,num_web_visits_month,age,customer_days,mnt_total,marital_status,education_status,kids,favorite_product_type_perc,favorite_product_type,accepted_cmps,purchases,favorite_purchase_channel_perc,favorite_purchase_channel
0,58138.0,58,88,7,63,2822,1529,single,graduation,0,0.41530412034009156,wines,1,25,0.4,catalog
1,46344.0,38,6,5,66,2272,21,single,graduation,2,0.5238095238095238,wines,0,6,0.3333333333333333,deals
2,71613.0,26,42,4,55,2471,734,together,graduation,0,0.5803814713896458,wines,0,21,0.47619047619047616,store
3,26646.0,26,5,6,36,2298,48,together,graduation,1,0.4166666666666667,meat,0,8,0.5,store
4,58293.0,94,15,5,39,2320,407,married,phd,1,0.4250614250614251,wines,0,19,0.3157894736842105,store
5,62513.0,16,14,6,53,2452,702,together,master,1,0.7407407407407407,wines,0,22,0.45454545454545453,store
6,55635.0,34,27,6,49,2752,563,divorced,graduation,1,0.41740674955595025,wines,0,21,0.3333333333333333,web
7,33454.0,32,23,8,35,2576,146,married,phd,1,0.5205479452054794,wines,0,10,0.4,web
8,30351.0,19,2,9,46,2547,44,together,phd,1,0.5454545454545454,meat,1,6,0.5,web
9,5648.0,68,13,20,70,2267,36,together,phd,2,0.7777777777777778,wines,1,2,0.5,deals
10,7500.0,59,16,8,44,2752,45,married,basic,0,0.35555555555555557,fruits,0,6,0.5,store
11,63033.0,82,30,2,61,2385,1072,divorced,graduation,0,0.44776119402985076,meat,0,16,0.5,store
12,59354.0,53,14,6,68,2385,296,divorced,master,2,0.7871621621621622,wines,0,15,0.4,web
13,17323.0,38,5,8,33,2786,41,married,graduation,0,0.4146341463414634,meat,0,5,0.6,store
14,82800.0,23,45,3,74,2741,1270,single,phd,0,0.7921259842519685,wines,3,26,0.46153846153846156,store
15,41850.0,51,4,8,40,2711,92,married,graduation,2,0.5760869565217391,wines,0,9,0.3333333333333333,deals
16,37760.0,20,28,7,74,2826,289,together,graduation,0,0.5190311418685121,fish,0,13,0.46153846153846156,store
17,76995.0,91,176,5,71,2617,1606,married,master,1,0.6301369863013698,wines,1,26,0.4230769230769231,web
18,33812.0,86,39,6,35,2762,94,single,2n cycle,1,0.3191489361702128,fish,0,8,0.375,store
19,37040.0,41,48,8,38,2849,268,married,graduation,0,0.3208955223880597,wines,0,12,0.4166666666666667,store
20,2447.0,42,1,1,41,2698,1729,married,graduation,1,0.9976865240023135,meat,0,43,0.6511627906976745,catalog
21,58607.0,63,19,8,71,2712,953,married,phd,1,0.9097586568730325,wines,1,17,0.5294117647058824,store
22,65324.0,0,5,4,66,2328,539,married,phd,1,0.712430426716141,wines,0,20,0.45,store
23,40689.0,69,99,8,69,2627,345,together,graduation,1,0.782608695652174,wines,0,20,0.35,deals
24,18589.0,89,13,7,51,2702,62,single,graduation,0,0.4032258064516129,meat,0,8,0.375,store
25,53359.0,4,41,7,44,2557,216,married,graduation,2,0.8009259259259259,wines,0,14,0.35714285714285715,web
26,38360.0,26,10,3,31,2553,121,married,graduation,1,0.34710743801652894,meat,0,9,0.4444444444444444,store
27,84618.0,96,0,2,55,2378,1672,married,phd,0,0.47906698564593303,meat,1,26,0.38461538461538464,store
28,10979.0,34,4,5,31,2197,26,divorced,master,0,0.38461538461538464,meat,0,8,0.375,web
29,38620.0,56,89,3,57,2573,229,together,master,0,0.4890829694323144,wines,0,11,0.45454545454545453,catalog
30,40548.0,31,3,5,50,2786,117,together,graduation,1,0.9401709401709402,wines,1,9,0.4444444444444444,store
31,46610.0,8,43,6,68,2767,259,divorced,phd,2,0.37065637065637064,wines,1,17,0.35294117647058826,deals
32,68657.0,4,22,7,74,2653,1174,married,master,0,0.41056218057921634,wines,0,18,0.5,store
33,49389.0,55,3,7,69,2463,62,single,master,2,0.6451612903225806,wines,0,6,0.5,store
34,67353.0,37,35,2,50,2339,878,married,phd,1,0.7995444191343963,wines,0,28,0.42857142857142855,store
35,23718.0,76,36,7,44,2459,45,married,2n cycle,1,0.3333333333333333,fish,0,9,0.3333333333333333,deals
36,42429.0,99,4,5,47,2297,63,widow,graduation,1,0.873015873015873,wines,0,7,0.42857142857142855,store
37,48948.0,53,42,6,77,2672,860,divorced,phd,0,0.5081395348837209,wines,2,24,0.4166666666666667,catalog
38,80011.0,3,102,4,40,2585,1293,married,graduation,1,0.41453982985305493,meat,0,21,0.38095238095238093,web
39,20559.0,88,7,8,35,2633,46,married,master,1,0.6304347826086957,meat,0,7,0.42857142857142855,store
40,21994.0,4,3,5,63,2711,19,together,graduation,1,0.47368421052631576,wines,0,4,0.75,store
41,7500.0,19,12,5,45,2429,19,married,master,1,0.5263157894736842,meat,0,8,0.375,deals
42,79941.0,72,174,1,44,2160,810,single,graduation,0,0.32839506172839505,meat,0,16,0.5625,store
43,7500.0,24,50,9,24,2756,72,married,2n cycle,0,0.3055555555555556,sweet,1,10,0.3,deals
44,41728.0,92,13,10,52,2560,42,together,graduation,1,0.35714285714285715,meat,0,5,0.4,web
45,72550.0,39,38,8,66,2757,1281,married,phd,2,0.644808743169399,wines,0,28,0.42857142857142855,store
46,65486.0,29,14,2,63,2207,493,widow,graduation,1,0.4969574036511156,wines,0,17,0.5882352941176471,store
47,79143.0,2,32,3,56,2846,1661,married,master,0,0.4695966285370259,meat,0,29,0.4482758620689655,store
48,35790.0,54,3,7,43,2702,69,single,graduation,1,0.43478260869565216,fish,0,7,0.42857142857142855,store
49,82582.0,54,241,1,43,2181,1376,divorced,graduation,0,0.3997093023255814,meat,3,21,0.42857142857142855,catalog
50,66373.0,57,109,3,42,2541,497,married,graduation,2,0.6599597585513078,wines,0,23,0.43478260869565216,store
51,82384.0,55,190,1,65,2746,1767,together,master,0,0.5568760611205433,wines,2,27,0.48148148148148145,store
52,70287.0,30,40,3,54,2612,1053,divorced,graduation,0,0.4577397910731244,meat,1,21,0.47619047619047616,store
53,27938.0,31,5,3,32,2221,24,single,graduation,1,0.5416666666666666,wines,0,6,0.6666666666666666,store
54,55954.0,63,43,7,52,2277,475,married,phd,1,0.9410526315789474,wines,0,19,0.42105263157894735,web
55,75777.0,12,80,1,38,2519,1358,single,master,0,0.524300441826215,wines,3,21,0.5238095238095238,store
56,66653.0,18,6,3,45,2819,606,together,graduation,2,0.7458745874587459,wines,0,22,0.5454545454545454,store
57,61823.0,26,169,7,68,2655,715,single,graduation,1,0.7314685314685314,wines,0,24,0.4166666666666667,store
58,67680.0,8,6,5,69,2542,600,widow,phd,1,0.91,wines,0,19,0.42105263157894735,store
